City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
148,Yerbogachen,RU,2020-04-18 03:14:08,61.28,108.01,21.92,84,85,10.89,overcast clouds,0.0,0.0
149,Humaita,BR,2020-04-18 03:17:51,-7.51,-63.02,73.71,95,55,2.15,light rain,0.13,0.0
150,Ylivieska,FI,2020-04-18 03:17:51,64.08,24.55,34.0,80,82,13.0,broken clouds,0.0,0.0
151,Hudiksvall,SE,2020-04-18 03:17:52,61.73,17.1,33.15,87,0,10.63,clear sky,0.0,0.0
152,Iqaluit,CA,2020-04-18 03:17:52,63.75,-68.51,5.0,84,90,2.24,light snow,0.0,0.0
153,Luoyang,CN,2020-04-18 03:17:52,34.68,112.45,55.2,61,100,5.75,light rain,0.33,0.0
154,Lorengau,PG,2020-04-18 03:17:52,-2.02,147.27,84.31,69,59,3.89,broken clouds,0.0,0.0
155,Aklavik,CA,2020-04-18 03:17:53,68.22,-135.01,33.8,80,75,5.82,broken clouds,0.0,0.0
156,Aban,RU,2020-04-18 03:17:53,56.67,96.06,36.79,73,72,6.55,broken clouds,0.0,0.0
157,Olafsvik,IS,2020-04-18 03:17:53,64.89,-23.71,42.3,84,100,28.05,light rain,0.34,0.0
158,Bambous Virieux,MU,2020-04-18 03:17:53,-20.34,57.76,77.0,83,75,12.75,shower rain,0.0,0.0
159,Thompson,CA,2020-04-18 03:15:17,55.74,-97.86,28.4,92,90,16.11,light snow,0.0,0.0
160,Slonim,BY,2020-04-18 03:17:54,53.09,25.32,30.52,93,0,8.08,clear sky,0.0,0.0
161,Ghanzi,BW,2020-04-18 03:17:54,-21.57,21.78,71.89,31,54,2.24,broken clouds,0.0,0.0
162,Francistown,BW,2020-04-18 03:17:54,-21.17,27.51,67.68,59,80,16.28,broken clouds,0.0,0.0
163,Avera,US,2020-04-18 03:17:54,33.19,-82.53,62.6,77,1,4.7,clear sky,0.0,0.0
164,Bonoua,CI,2020-04-18 03:17:54,5.27,-3.6,82.4,88,20,4.7,few clouds,0.0,0.0
165,Takapau,NZ,2020-04-18 03:17:55,-40.03,176.35,64.0,72,20,5.99,light rain,0.18,0.0
166,Sturgeon Falls,CA,2020-04-18 03:17:55,46.36,-79.93,33.01,93,75,5.82,broken clouds,0.0,0.0
167,Fort Nelson,CA,2020-04-18 03:17:55,58.81,-122.7,41.0,56,20,6.93,few clouds,0.0,0.0
168,Hasaki,JP,2020-04-18 03:17:56,35.73,140.83,57.99,100,75,28.86,shower rain,0.0,0.0
169,Umaria,IN,2020-04-18 03:16:03,23.53,80.83,95.61,12,0,2.37,clear sky,0.0,0.0
170,Naberera,TZ,2020-04-18 03:17:56,-4.2,36.93,63.63,66,96,4.27,overcast clouds,0.0,0.0
171,Sawankhalok,TH,2020-04-18 03:17:56,17.32,99.83,93.99,66,20,4.7,few clouds,0.0,0.0
172,Shakiso,ET,2020-04-18 03:17:57,5.75,38.92,57.9,59,99,3.0,overcast clouds,0.0,0.0
173,Vostok,RU,2020-04-18 03:17:57,46.49,135.88,48.42,51,100,2.21,overcast clouds,0.0,0.0
174,Ruteng,ID,2020-04-18 03:17:57,-8.61,120.47,77.81,48,39,3.83,scattered clouds,0.0,0.0
175,Ferrol,ES,2020-04-18 03:14:18,43.48,-8.24,55.99,84,2,1.99,clear sky,0.0,0.0
176,Severo-Kurilsk,RU,2020-04-18 03:14:35,50.68,156.12,32.92,92,8,12.95,clear sky,0.0,0.0
177,Ust-Maya,RU,2020-04-18 03:17:58,60.42,134.53,15.35,82,100,8.66,overcast clouds,0.0,0.0
178,Isangel,VU,2020-04-18 03:16:19,-19.55,169.27,84.2,70,75,3.36,broken clouds,0.0,0.0
179,Dmitrovsk-Orlovskiy,RU,2020-04-18 03:17:58,52.51,35.15,31.51,89,24,10.09,few clouds,0.0,0.0
180,Half Moon Bay,US,2020-04-18 03:17:27,37.46,-122.43,57.0,81,90,9.17,overcast clouds,0.0,0.0
181,Lokosovo,RU,2020-04-18 03:17:59,61.13,74.82,50.41,67,99,14.52,overcast clouds,0.0,0.0
182,Vila Velha,BR,2020-04-18 03:17:59,-20.33,-40.29,75.2,83,75,13.87,broken clouds,0.0,0.0
183,Yaan,NG,2020-04-18 03:17:59,7.38,8.57,79.32,74,81,10.74,broken clouds,0.0,0.0
184,Cidreira,BR,2020-04-18 03:18:00,-30.18,-50.21,64.29,87,4,2.15,light rain,0.14,0.0
185,Kasempa,ZM,2020-04-18 03:18:02,-13.46,25.83,61.52,63,5,5.37,clear sky,0.0,0.0
186,Slave Lake,CA,2020-04-18 03:18:03,55.28,-114.77,35.6,70,90,8.05,light rain,0.0,0.0
187,Poum,NC,2020-04-18 03:18:04,-20.23,164.02,79.02,74,93,8.34,overcast clouds,0.0,0.0
188,Worland,US,2020-04-18 03:18:05,44.02,-107.96,46.0,52,1,12.75,clear sky,0.0,0.0
189,Mahibadhoo,MV,2020-04-18 03:18:05,3.78,72.97,85.3,72,69,9.01,light rain,0.13,0.0
190,Pyapon,MM,2020-04-18 03:18:06,16.28,95.68,89.71,37,0,6.46,clear sky,0.0,0.0
191,Yeppoon,AU,2020-04-18 03:18:06,-23.13,150.73,91.4,41,0,8.05,clear sky,0.0,0.0
192,Perbaungan,ID,2020-04-18 03:18:06,3.57,98.96,87.8,70,40,8.05,scattered clouds,0.0,0.0
193,Khatanga,RU,2020-04-18 03:18:06,71.97,102.5,15.76,92,0,13.6,clear sky,0.0,0.0
194,Konstantinovo,BY,2020-04-18 03:18:07,54.66,29.27,30.36,93,0,12.03,clear sky,0.0,0.0
195,Manoel Urbano,BR,2020-04-18 03:18:07,-8.84,-69.26,68.77,74,7,2.35,clear sky,0.0,0.0
196,Paramonga,PE,2020-04-18 03:18:07,-10.67,-77.83,72.82,75,100,9.37,overcast clouds,0.0,0.0
197,Marica,BR,2020-04-18 03:18:08,-22.92,-42.82,69.8,94,90,8.05,overcast clouds,0.0,0.0
198,Broken Hill,AU,2020-04-18 03:15:24,-31.95,141.43,64.4,42,75,3.36,broken clouds,0.0,0.0
199,Hobyo,SO,2020-04-18 03:15:12,5.35,48.53,83.16,75,30,10.69,light rain,0.28,0.0
200,Nanortalik,GL,2020-04-18 03:15:16,60.14,-45.24,28.58,90,100,14.85,light snow,0.0,0.28
201,Tura,IN,2020-04-18 03:18:10,25.52,90.22,77.02,70,93,5.12,light rain,2.44,0.0
202,Thinadhoo,MV,2020-04-18 03:18:10,0.53,72.93,84.79,75,20,8.84,few clouds,0.0,0.0
203,Adrar,MR,2020-04-18 03:18:10,20.5,-10.07,83.28,22,80,10.76,broken clouds,0.0,0.0
204,Fairbanks,US,2020-04-18 03:18:11,64.84,-147.72,45.0,75,90,2.42,light rain,0.0,0.0
205,Saskylakh,RU,2020-04-18 03:18:11,71.92,114.08,8.71,88,0,4.99,clear sky,0.0,0.0
206,Chegdomyn,RU,2020-04-18 03:18:05,51.12,133.02,57.22,30,29,8.32,scattered clouds,0.0,0.0
207,Kodiak,US,2020-04-18 03:14:24,57.79,-152.41,50.0,76,90,13.87,overcast clouds,0.0,0.0
208,Pavilosta,LV,2020-04-18 03:18:12,56.89,21.19,41.0,80,28,4.7,scattered clouds,0.0,0.0
209,Abay,KZ,2020-04-18 03:18:13,49.63,72.85,53.6,46,10,13.42,clear sky,0.0,0.0
210,Lubango,AO,2020-04-18 03:18:13,-14.92,13.49,59.11,53,90,1.28,light rain,0.77,0.0
211,Tiksi,RU,2020-04-18 03:18:14,71.69,128.87,9.32,93,100,6.04,light snow,0.0,0.45
212,Soller,ES,2020-04-18 03:18:14,39.77,2.72,59.0,87,100,3.36,light rain,0.81,0.0
213,Praxedis Guerrero,MX,2020-04-18 03:18:15,31.37,-106.02,72.0,16,75,4.7,broken clouds,0.0,0.0
214,Huilong,CN,2020-04-18 03:18:15,31.81,121.66,57.83,68,100,8.97,overcast clouds,0.0,0.0
